Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Wisconsin,2012-13,Race/Ethnicity,"Black, Non-Hispanic",57.9,52.8 to 62.7,496
Seasonal Influenza,States,Wyoming,2012-13,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Alabama,2013-14,Race/Ethnicity,"Black, Non-Hispanic",34.3,25.1 to 44.9,87
Seasonal Influenza,States,Alaska,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Arkansas,2013-14,Race/Ethnicity,"Black, Non-Hispanic",12.0,6.6 to 20.8,86
Seasonal Influenza,States,Colorado,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Connecticut,2013-14,Race/Ethnicity,"Black, Non-Hispanic",71.0,62.6 to 78.1,127
Seasonal Influenza,States,Delaware,2013-14,Race/Ethnicity,"Black, Non-Hispanic",38.2,30.0 to 47.2,148
Seasonal Influenza,States,Georgia,2013-14,Race/Ethnicity,"Black, Non-Hispanic",17.6,10.3 to 28.4,196
Seasonal Influenza,States,Hawaii,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Illinois,2013-14,Race/Ethnicity,"Black, Non-Hispanic",36.5,27.8 to 46.2,154
Seasonal Influenza,States,Iowa,2013-14,Race/Ethnicity,"Black, Non-Hispanic",60.2,54.3 to 65.8,237
Seasonal Influenza,States,Maine,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2013-14,Race/Ethnicity,"Black, Non-Hispanic",44.9,38.2 to 51.7,298
Seasonal Influenza,States,Massachusetts,2013-14,Race/Ethnicity,"Black, Non-Hispanic",76.1,70.2 to 81.0,244
Seasonal Influenza,States,Michigan,2013-14,Race/Ethnicity,"Black, Non-Hispanic",39.3,32.8 to 46.2,295
Seasonal Influenza,States,Minnesota,2013-14,Race/Ethnicity,"Black, Non-Hispanic",70.5,53.7 to 83.1,35
Seasonal Influenza,States,Missouri,2013-14,Race/Ethnicity,"Black, Non-Hispanic",52.9,41.9 to 63.6,123
Seasonal Influenza,States,Nebraska,2013-14,Race/Ethnicity,"Black, Non-Hispanic",63.7,55.8 to 71.0,148
Seasonal Influenza,States,New Hampshire,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New Jersey,2013-14,Race/Ethnicity,"Black, Non-Hispanic",36.0,26.7 to 46.6,108
Seasonal Influenza,States,New Mexico,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New York,2013-14,Race/Ethnicity,"Black, Non-Hispanic",50.1,42.3 to 57.9,289
Seasonal Influenza,States,Ohio,2013-14,Race/Ethnicity,"Black, Non-Hispanic",48.2,35.1 to 61.6,89
Seasonal Influenza,States,Oklahoma,2013-14,Race/Ethnicity,"Black, Non-Hispanic",49.4,31.7 to 67.2,111
Seasonal Influenza,States,Oregon,2013-14,Race/Ethnicity,"Black, Non-Hispanic",69.5,55.9 to 80.4,45
Seasonal Influenza,States,Pennsylvania,2013-14,Race/Ethnicity,"Black, Non-Hispanic",74.4,61.3 to 84.1,78
Seasonal Influenza,States,Rhode Island,2013-14,Race/Ethnicity,"Black, Non-Hispanic",81.9,67.9 to 90.7,63
Seasonal Influenza,States,Tennessee,2013-14,Race/Ethnicity,"Black, Non-Hispanic",34.4,24.1 to 46.6,121
Seasonal Influenza,National,U.S. Median,2013-14,Race/Ethnicity,"Black, Non-Hispanic",51.5,,123
Seasonal Influenza,States,Utah,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Vermont,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Washington,2013-14,Race/Ethnicity,"Black, Non-Hispanic",62.7,53.0 to 71.5,109
Seasonal Influenza,States,West Virginia,2013-14,Race/Ethnicity,"Black, Non-Hispanic",28.3,11.8 to 53.7,30
Seasonal Influenza,States,Wisconsin,2013-14,Race/Ethnicity,"Black, Non-Hispanic",60.4,55.2 to 65.4,462
Seasonal Influenza,States,Wyoming,2013-14,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Alabama,2014-15,Race/Ethnicity,"Black, Non-Hispanic",37.4,30.0 to 45.4,152
Seasonal Influenza,States,Alaska,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Arkansas,2014-15,Race/Ethnicity,"Black, Non-Hispanic",68.8,53.1 to 81.1,105
Seasonal Influenza,States,Colorado,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Connecticut,2014-15,Race/Ethnicity,"Black, Non-Hispanic",66.4,59.8 to 72.5,210
Seasonal Influenza,States,Delaware,2014-15,Race/Ethnicity,"Black, Non-Hispanic",47.2,39.3 to 55.3,163
Seasonal Influenza,States,Hawaii,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Illinois,2014-15,Race/Ethnicity,"Black, Non-Hispanic",49.4,40.7 to 58.0,179
Seasonal Influenza,States,Iowa,2014-15,Race/Ethnicity,"Black, Non-Hispanic",59.9,54.1 to 65.5,245
Seasonal Influenza,States,Louisiana,2014-15,Race/Ethnicity,"Black, Non-Hispanic",46.4,39.7 to 53.3,422
Seasonal Influenza,States,Maine,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2014-15,Race/Ethnicity,"Black, Non-Hispanic",45.6,38.7 to 52.7,253
Seasonal Influenza,States,Massachusetts,2014-15,Race/Ethnicity,"Black, Non-Hispanic",71.9,62.8 to 79.6,208
Seasonal Influenza,States,Michigan,2014-15,Race/Ethnicity,"Black, Non-Hispanic",46.3,39.8 to 52.9,275
Seasonal Influenza,States,Missouri,2014-15,Race/Ethnicity,"Black, Non-Hispanic",51.8,39.9 to 63.6,103
Seasonal Influenza,States,Nebraska,2014-15,Race/Ethnicity,"Black, Non-Hispanic",69.5,61.0 to 76.8,119
Seasonal Influenza,States,New Hampshire,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New Jersey,2014-15,Race/Ethnicity,"Black, Non-Hispanic",31.6,23.8 to 40.7,132
Seasonal Influenza,States,New Mexico,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New York,2014-15,Race/Ethnicity,"Black, Non-Hispanic",47.2,39.3 to 55.2,243
Seasonal Influenza,States,Ohio,2014-15,Race/Ethnicity,"Black, Non-Hispanic",46.5,37.0 to 56.4,197
Seasonal Influenza,States,Oklahoma,2014-15,Race/Ethnicity,"Black, Non-Hispanic",51.7,35.7 to 67.4,139
Seasonal Influenza,States,Oregon,2014-15,Race/Ethnicity,"Black, Non-Hispanic",72.4,58.8 to 82.8,49
Seasonal Influenza,States,Pennsylvania,2014-15,Race/Ethnicity,"Black, Non-Hispanic",53.1,40.4 to 65.4,91
Seasonal Influenza,States,Rhode Island,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Tennessee,2014-15,Race/Ethnicity,"Black, Non-Hispanic",41.3,30.6 to 53.0,151
Seasonal Influenza,States,Texas,2014-15,Race/Ethnicity,"Black, Non-Hispanic",52.9,44.7 to 61.1,142
Seasonal Influenza,National,U.S. Median,2014-15,Race/Ethnicity,"Black, Non-Hispanic",51.8,,152
Seasonal Influenza,States,Utah,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Vermont,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Virginia,2014-15,Race/Ethnicity,"Black, Non-Hispanic",44.0,28.2 to 61.0,61
Seasonal Influenza,States,Washington,2014-15,Race/Ethnicity,"Black, Non-Hispanic",68.6,57.8 to 77.7,88
Seasonal Influenza,States,West Virginia,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2014-15,Race/Ethnicity,"Black, Non-Hispanic",63.8,58.7 to 68.6,473
Seasonal Influenza,States,Wyoming,2014-15,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Alabama,2015-16,Race/Ethnicity,"Black, Non-Hispanic",42.3,32.0 to 53.3,81
Seasonal Influenza,States,Alaska,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Arkansas,2015-16,Race/Ethnicity,"Black, Non-Hispanic",52.6,39.9 to 64.9,169
Seasonal Influenza,States,Colorado,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Connecticut,2015-16,Race/Ethnicity,"Black, Non-Hispanic",57.1,45.2 to 68.2,66
Seasonal Influenza,States,Delaware,2015-16,Race/Ethnicity,"Black, Non-Hispanic",54.5,46.3 to 62.4,166
Seasonal Influenza,States,Hawaii,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Illinois,2015-16,Race/Ethnicity,"Black, Non-Hispanic",44.3,36.0 to 53.0,180
Seasonal Influenza,States,Iowa,2015-16,Race/Ethnicity,"Black, Non-Hispanic",64.2,58.3 to 69.6,246
Seasonal Influenza,States,Louisiana,2015-16,Race/Ethnicity,"Black, Non-Hispanic",41.1,36.0 to 46.3,552
Seasonal Influenza,States,Maine,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2015-16,Race/Ethnicity,"Black, Non-Hispanic",48.8,41.4 to 56.3,235
Seasonal Influenza,States,Massachusetts,2015-16,Race/Ethnicity,"Black, Non-Hispanic",67.4,58.0 to 75.6,173
Seasonal Influenza,States,Michigan,2015-16,Race/Ethnicity,"Black, Non-Hispanic",36.6,32.4 to 40.9,572
Seasonal Influenza,States,Missouri,2015-16,Race/Ethnicity,"Black, Non-Hispanic",57.6,45.0 to 69.4,92
Seasonal Influenza,States,Nebraska,2015-16,Race/Ethnicity,"Black, Non-Hispanic",68.3,56.4 to 78.3,60
Seasonal Influenza,States,New Hampshire,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New Jersey,2015-16,Race/Ethnicity,"Black, Non-Hispanic",33.8,26.5 to 42.0,160
Seasonal Influenza,States,New Mexico,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New York,2015-16,Race/Ethnicity,"Black, Non-Hispanic",51.0,43.8 to 58.2,284
Seasonal Influenza,States,Ohio,2015-16,Race/Ethnicity,"Black, Non-Hispanic",41.5,27.8 to 56.6,65
Seasonal Influenza,States,Oklahoma,2015-16,Race/Ethnicity,"Black, Non-Hispanic",38.6,31.4 to 46.4,221
Seasonal Influenza,States,Oregon,2015-16,Race/Ethnicity,"Black, Non-Hispanic",59.2,44.3 to 72.6,41
Seasonal Influenza,States,Pennsylvania,2015-16,Race/Ethnicity,"Black, Non-Hispanic",50.9,39.1 to 62.6,103
Seasonal Influenza,States,Rhode Island,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Tennessee,2015-16,Race/Ethnicity,"Black, Non-Hispanic",34.1,18.9 to 53.4,56
Seasonal Influenza,States,Texas,2015-16,Race/Ethnicity,"Black, Non-Hispanic",48.0,39.0 to 57.2,199
Seasonal Influenza,National,U.S. Median,2015-16,Race/Ethnicity,"Black, Non-Hispanic",51.8,,169
Seasonal Influenza,States,Utah,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Vermont,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Virginia,2015-16,Race/Ethnicity,"Black, Non-Hispanic",40.1,24.1 to 58.5,59
Seasonal Influenza,States,Washington,2015-16,Race/Ethnicity,"Black, Non-Hispanic",68.8,59.3 to 77.0,122
Seasonal Influenza,States,West Virginia,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2015-16,Race/Ethnicity,"Black, Non-Hispanic",65.0,59.1 to 70.4,399
Seasonal Influenza,States,Wyoming,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Alabama,2016-17,Race/Ethnicity,"Black, Non-Hispanic",51.3,40.0 to 62.5,97
Seasonal Influenza,States,Alaska,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Arkansas,2016-17,Race/Ethnicity,"Black, Non-Hispanic",37.0,20.5 to 57.2,96
Seasonal Influenza,States,Colorado,2016-17,Race/Ethnicity,"Black, Non-Hispanic",70.6,48.3 to 86.0,31
Seasonal Influenza,States,Connecticut,2016-17,Race/Ethnicity,"Black, Non-Hispanic",68.7,62.8 to 74.1,248
Seasonal Influenza,States,Delaware,2016-17,Race/Ethnicity,"Black, Non-Hispanic",49.2,40.6 to 57.9,147
Seasonal Influenza,States,Georgia,2016-17,Race/Ethnicity,"Black, Non-Hispanic",37.6,26.0 to 50.7,133
Seasonal Influenza,States,Illinois,2016-17,Race/Ethnicity,"Black, Non-Hispanic",41.5,32.8 to 50.8,164
Seasonal Influenza,States,Iowa,2016-17,Race/Ethnicity,"Black, Non-Hispanic",63.1,57.0 to 68.8,244
Seasonal Influenza,States,Kansas,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Kentucky,2016-17,Race/Ethnicity,"Black, Non-Hispanic",48.8,40.3 to 57.4,126
Seasonal Influenza,States,Louisiana,2016-17,Race/Ethnicity,"Black, Non-Hispanic",43.6,38.1 to 49.3,307
Seasonal Influenza,States,Maine,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2016-17,Race/Ethnicity,"Black, Non-Hispanic",54.5,46.8 to 61.9,216
Seasonal Influenza,States,Massachusetts,2016-17,Race/Ethnicity,"Black, Non-Hispanic",75.5,69.4 to 80.8,216
Seasonal Influenza,States,Michigan,2016-17,Race/Ethnicity,"Black, Non-Hispanic",37.7,33.7 to 41.9,588
Seasonal Influenza,States,Missouri,2016-17,Race/Ethnicity,"Black, Non-Hispanic",59.1,47.8 to 69.6,111
Seasonal Influenza,States,Nebraska,2016-17,Race/Ethnicity,"Black, Non-Hispanic",69.3,56.1 to 80.0,53
Seasonal Influenza,States,New Hampshire,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New Jersey,2016-17,Race/Ethnicity,"Black, Non-Hispanic",41.8,33.7 to 50.4,148
Seasonal Influenza,States,New Mexico,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New York,2016-17,Race/Ethnicity,"Black, Non-Hispanic",52.4,45.2 to 59.6,267
Seasonal Influenza,States,North Carolina,2016-17,Race/Ethnicity,"Black, Non-Hispanic",68.9,54.5 to 80.4,84
Seasonal Influenza,States,North Dakota,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Oklahoma,2016-17,Race/Ethnicity,"Black, Non-Hispanic",41.3,35.7 to 47.2,263
Seasonal Influenza,States,Pennsylvania,2016-17,Race/Ethnicity,"Black, Non-Hispanic",48.5,34.9 to 62.4,105
Seasonal Influenza,States,Rhode Island,2016-17,Race/Ethnicity,"Black, Non-Hispanic",84.7,69.7 to 93.0,49
Seasonal Influenza,States,South Dakota,2016-17,Race/Ethnicity,"Black, Non-Hispanic",75.9,62.0 to 85.9,38
Seasonal Influenza,States,Texas,2016-17,Race/Ethnicity,"Black, Non-Hispanic",48.5,34.1 to 63.2,83
Seasonal Influenza,National,U.S. Median,2016-17,Race/Ethnicity,"Black, Non-Hispanic",51.9,,139
Seasonal Influenza,States,Utah,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Vermont,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Virginia,2016-17,Race/Ethnicity,"Black, Non-Hispanic",59.5,45.1 to 72.4,140
Seasonal Influenza,States,Washington,2016-17,Race/Ethnicity,"Black, Non-Hispanic",68.1,59.9 to 75.3,138
Seasonal Influenza,States,West Virginia,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2016-17,Race/Ethnicity,"Black, Non-Hispanic",65.5,59.3 to 71.1,374
Seasonal Influenza,States,Wyoming,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Alaska,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Arkansas,2010-11,Race/Ethnicity,Hispanic,30.0,15.4 to 50.3,35
Seasonal Influenza,States,Colorado,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Delaware,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Georgia,2010-11,Race/Ethnicity,Hispanic,24.7,13.2 to 41.6,73
Seasonal Influenza,States,Hawaii,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Illinois,2010-11,Race/Ethnicity,Hispanic,39.3,33.0 to 45.8,257
Seasonal Influenza,States,Maine,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2010-11,Race/Ethnicity,Hispanic,34.2,23.7 to 46.5,129
Seasonal Influenza,States,Massachusetts,2010-11,Race/Ethnicity,Hispanic,60.4,54.6 to 65.9,275
Seasonal Influenza,States,Michigan,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Minnesota,2010-11,Race/Ethnicity,Hispanic,59.7,45.1 to 72.7,54
Seasonal Influenza,States,Missouri,2010-11,Race/Ethnicity,Hispanic,40.0,21.9 to 61.4,35
Seasonal Influenza,States,Nebraska,2010-11,Race/Ethnicity,Hispanic,62.1,54.2 to 69.4,144
Seasonal Influenza,States,New Jersey,2010-11,Race/Ethnicity,Hispanic,23.8,18.8 to 29.6,255
Seasonal Influenza,States,New Mexico,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New York,2010-11,Race/Ethnicity,Hispanic,39.9,34.3 to 45.9,408
Seasonal Influenza,States,Ohio,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2010-11,Race/Ethnicity,Hispanic,33.8,22.4 to 47.4,136
Seasonal Influenza,States,Oregon,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Pennsylvania,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Rhode Island,2010-11,Race/Ethnicity,Hispanic,57.9,48.9 to 66.4,153
Seasonal Influenza,States,Texas,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,National,U.S. Median,2010-11,Race/Ethnicity,Hispanic,41.7,,144
Seasonal Influenza,States,Utah,2010-11,Race/Ethnicity,Hispanic,41.7,33.9 to 49.8,195
Seasonal Influenza,States,Vermont,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Washington,2010-11,Race/Ethnicity,Hispanic,48.6,40.8 to 56.6,174
Seasonal Influenza,States,West Virginia,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wyoming,2010-11,Race/Ethnicity,Hispanic,31.9,21.1 to 45.1,84
Seasonal Influenza,States,Alaska,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Arkansas,2011-12,Race/Ethnicity,Hispanic,56.9,29.8 to 80.5,31
Seasonal Influenza,States,Colorado,2011-12,Race/Ethnicity,Hispanic,74.4,50.3 to 89.3,38
Seasonal Influenza,States,Delaware,2011-12,Race/Ethnicity,Hispanic,60.8,46.2 to 73.7,45
Seasonal Influenza,States,Georgia,2011-12,Race/Ethnicity,Hispanic,17.7,9.3 to 31.1,81
Seasonal Influenza,States,Hawaii,2011-12,Race/Ethnicity,Hispanic,46.7,28.6 to 65.6,42
Seasonal Influenza,States,Illinois,2011-12,Race/Ethnicity,Hispanic,51.6,43.3 to 59.9,158
Seasonal Influenza,States,Maine,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2011-12,Race/Ethnicity,Hispanic,63.7,47.1 to 77.6,70
Seasonal Influenza,States,Massachusetts,2011-12,Race/Ethnicity,Hispanic,74.2,67.3 to 80.1,229
Seasonal Influenza,States,Michigan,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Minnesota,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Missouri,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Nebraska,2011-12,Race/Ethnicity,Hispanic,54.9,45.8 to 63.7,115
Seasonal Influenza,States,New Jersey,2011-12,Race/Ethnicity,Hispanic,36.7,29.4 to 44.6,171
Seasonal Influenza,States,New Mexico,2011-12,Race/Ethnicity,Hispanic,48.1,41.5 to 54.7,210
Seasonal Influenza,States,New York,2011-12,Race/Ethnicity,Hispanic,47.6,38.6 to 56.7,197
Seasonal Influenza,States,Ohio,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2011-12,Race/Ethnicity,Hispanic,39.6,25.7 to 55.4,115
Seasonal Influenza,States,Oregon,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Pennsylvania,2011-12,Race/Ethnicity,Hispanic,59.6,42.4 to 74.6,44
Seasonal Influenza,States,Rhode Island,2011-12,Race/Ethnicity,Hispanic,68.0,57.5 to 76.9,105
Seasonal Influenza,States,Tennessee,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,National,U.S. Median,2011-12,Race/Ethnicity,Hispanic,55.2,,105
Seasonal Influenza,States,Utah,2011-12,Race/Ethnicity,Hispanic,62.2,50.6 to 72.6,116
Seasonal Influenza,States,Vermont,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Washington,2011-12,Race/Ethnicity,Hispanic,55.5,45.8 to 64.7,105
Seasonal Influenza,States,West Virginia,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2011-12,Race/Ethnicity,Hispanic,67.1,54.7 to 77.5,63
Seasonal Influenza,States,Wyoming,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Alaska,2012-13,Race/Ethnicity,Hispanic,58.6,42.8 to 72.8,70
Seasonal Influenza,States,Arkansas,2012-13,Race/Ethnicity,Hispanic,74.7,57.2 to 86.7,61
Seasonal Influenza,States,Colorado,2012-13,Race/Ethnicity,Hispanic,72.3,64.6 to 78.9,279
Seasonal Influenza,States,Delaware,2012-13,Race/Ethnicity,Hispanic,65.0,55.2 to 73.6,106
Seasonal Influenza,States,Georgia,2012-13,Race/Ethnicity,Hispanic,29.7,16.3 to 47.8,51
Seasonal Influenza,States,Hawaii,2012-13,Race/Ethnicity,Hispanic,42.2,33.1 to 52.0,192
Seasonal Influenza,States,Illinois,2012-13,Race/Ethnicity,Hispanic,52.0,44.8 to 59.1,216
Seasonal Influenza,States,Iowa,2012-13,Race/Ethnicity,Hispanic,62.7,55.3 to 69.5,150
Seasonal Influenza,States,Maine,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2012-13,Race/Ethnicity,Hispanic,62.7,52.7 to 71.7,131
Seasonal Influenza,States,Massachusetts,2012-13,Race/Ethnicity,Hispanic,71.4,64.7 to 77.3,257
Seasonal Influenza,States,Michigan,2012-13,Race/Ethnicity,Hispanic,58.9,42.6 to 73.4,53
Seasonal Influenza,States,Minnesota,2012-13,Race/Ethnicity,Hispanic,79.9,66.6 to 88.9,60
Seasonal Influenza,States,Missouri,2012-13,Race/Ethnicity,Hispanic,67.8,48.2 to 82.7,38
Seasonal Influenza,States,Nebraska,2012-13,Race/Ethnicity,Hispanic,62.1,55.4 to 68.3,221
Seasonal Influenza,States,New Hampshire,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New Jersey,2012-13,Race/Ethnicity,Hispanic,37.6,31.5 to 44.1,243
Seasonal Influenza,States,New Mexico,2012-13,Race/Ethnicity,Hispanic,54.5,49.8 to 59.0,552
Seasonal Influenza,States,New York,2012-13,Race/Ethnicity,Hispanic,45.4,39.8 to 51.1,519
Seasonal Influenza,States,Ohio,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2012-13,Race/Ethnicity,Hispanic,46.5,34.6 to 58.9,190
Seasonal Influenza,States,Oregon,2012-13,Race/Ethnicity,Hispanic,60.6,54.2 to 66.7,275
Seasonal Influenza,States,Pennsylvania,2012-13,Race/Ethnicity,Hispanic,55.9,40.2 to 70.5,54
Seasonal Influenza,States,Rhode Island,2012-13,Race/Ethnicity,Hispanic,72.7,66.3 to 78.3,229
Seasonal Influenza,States,Tennessee,2012-13,Race/Ethnicity,Hispanic,57.1,40.1 to 72.6,49
Seasonal Influenza,National,U.S. Median,2012-13,Race/Ethnicity,Hispanic,62.7,,145
Seasonal Influenza,States,Utah,2012-13,Race/Ethnicity,Hispanic,63.7,56.5 to 70.4,294
Seasonal Influenza,States,Vermont,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Washington,2012-13,Race/Ethnicity,Hispanic,68.9,59.5 to 77.0,106
Seasonal Influenza,States,West Virginia,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2012-13,Race/Ethnicity,Hispanic,64.0,55.7 to 71.5,140
Seasonal Influenza,States,Wyoming,2012-13,Race/Ethnicity,Hispanic,44.0,29.5 to 59.6,64
Seasonal Influenza,States,Alabama,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Alaska,2013-14,Race/Ethnicity,Hispanic,54.5,38.2 to 69.9,86
Seasonal Influenza,States,Arkansas,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Colorado,2013-14,Race/Ethnicity,Hispanic,68.8,57.0 to 78.7,123
Seasonal Influenza,States,Connecticut,2013-14,Race/Ethnicity,Hispanic,75.0,68.0 to 81.0,168
Seasonal Influenza,States,Delaware,2013-14,Race/Ethnicity,Hispanic,73.5,63.9 to 81.3,96
Seasonal Influenza,States,Georgia,2013-14,Race/Ethnicity,Hispanic,16.1,5.9 to 37.1,40
Seasonal Influenza,States,Hawaii,2013-14,Race/Ethnicity,Hispanic,50.1,40.1 to 60.1,177
Seasonal Influenza,States,Illinois,2013-14,Race/Ethnicity,Hispanic,53.9,46.9 to 60.8,224
Seasonal Influenza,States,Iowa,2013-14,Race/Ethnicity,Hispanic,70.9,65.8 to 75.5,292
Seasonal Influenza,States,Maine,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2013-14,Race/Ethnicity,Hispanic,55.7,45.9 to 65.1,138
Seasonal Influenza,States,Massachusetts,2013-14,Race/Ethnicity,Hispanic,74.3,67.4 to 80.1,267
Seasonal Influenza,States,Michigan,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Minnesota,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Missouri,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Nebraska,2013-14,Race/Ethnicity,Hispanic,63.2,57.0 to 69.0,237
Seasonal Influenza,States,New Hampshire,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New Jersey,2013-14,Race/Ethnicity,Hispanic,56.6,48.0 to 64.9,146
